Player,Team,Pos,TRB
Cam Thomas,BRK,SG,3.9
Monte Morris,PHO,PG,3.9
Marcus Smart,MEM,PG,3.9
Reggie Jackson,PHI,PG,3.9
Jeff Dowtin,PHI,PG,3.9
Bones Hyland,LAC,PG,3.9
Josh Christopher,MIA,SG,3.9
Devin Booker,PHO,SG,3.8
Jamal Murray,DEN,PG,3.8
Max Christie,LAL,SG,3.8
Norman Powell,LAC,SG,3.8
Jerami Grant,POR,PF,3.8
Mike Conley,MIN,PG,3.8
Miles McBride,NYK,PG,3.8
D'Angelo Russell,2TM,PG,3.8
D'Angelo Russell,LAL,PG,3.8
Sam Merrill,CLE,SG,3.8
Garrison Mathews,ATL,SG,3.8
Kyle Lowry,PHI,PG,3.8
Marcus Smart,2TM,PG,3.8
Jalen Pickett,DEN,SG,3.8
Antonio Reeves,NOP,SG,3.8
Elfrid Payton,CHO,PG,3.8
Quenton Jackson,IND,PG,3.8
Jaden Springer,UTA,PG,3.8
Bronny James,LAL,SG,3.8
A.J. Lawson,TOR,SG,3.8
Tyrese Haliburton,IND,PG,3.7
Coby White,CHI,SG,3.7
Jordan Poole,WAS,SG,3.7
A.J. Green,MIL,SG,3.7
Jose Alvarado,NOP,PG,3.7
Shake Milton,BRK,SG,3.7
Jaden Hardy,DAL,SG,3.7
Jett Howard,ORL,SF,3.7
Brandon Williams,DAL,PG,3.7
Jordan McLaughlin,2TM,PG,3.7
Joe Ingles,MIN,SF,3.7
Dariq Whitehead,BRK,SF,3.7
Malik Beasley,DET,SG,3.6
Duncan Robinson,MIA,SF,3.6
Collin Sexton,UTA,SG,3.6
Bogdan Bogdanović,2TM,SG,3.6
Cameron Payne,NYK,PG,3.6
Tyler Kolek,NYK,PG,3.6
Julian Strawther,DEN,SG,3.5
Aaron Holiday,HOU,PG,3.5
Rob Dillingham,MIN,PG,3.5
Cory Joseph,ORL,PG,3.5
Markelle Fultz,SAC,PG,3.5
Dennis Schröder,3TM,PG,3.4
Amir Coffey,LAC,SG,3.4
Gary Trent Jr.,MIL,SG,3.4
Jared McCain,PHI,SG,3.4
Marcus Smart,WAS,PG,3.4
Josh Green,CHO,SG,3.3
Spencer Dinwiddie,DAL,PG,3.3
Nick Smith Jr.,CHO,SG,3.3
Jared Rhoden,TOR,SG,3.3
Tyrese Maxey,PHI,PG,3.2
Dennis Schröder,BRK,PG,3.2
Dennis Schröder,GSW,SG,3.2
Jaylen Clark,MIN,SG,3.2
Jazian Gortman,DAL,PG,3.2
Tyus Jones,PHO,PG,3.1
Caleb Houstan,ORL,SF,3.1
Keaton Wallace,ATL,PG,3.1
Jee0than Williams,HOU,SG,3.1
Mikal Bridges,NYK,SF,3
Jalen Brunson,NYK,PG,3
Trae Young,ATL,PG,3
Anfernee Simons,POR,SG,3
Darius Garland,CLE,PG,3
Tim Hardaway Jr.,DET,SG,3
Marcus Sasser,DET,PG,3
Dante Exum,DAL,PG,3
Adam Flagler,OKC,SG,3
Patty Mills,UTA,PG,2.9
Josh Richardson,MIA,SG,2.9
Davion Mitchell,TOR,PG,2.8
Gary Harris,ORL,SG,2.8
Delon Wright,NYK,PG,2.8
Blake Wesley,SAS,SG,2.8
JD Davison,BOS,PG,2.8
Davion Mitchell,2TM,PG,2.7
Bogdan Bogdanović,LAC,SG,2.7
Patty Mills,2TM,PG,2.6
Jalen Hood-Schifino,LAL,SG,2.6
Kentavious Caldwell-Pope,ORL,SG,2.5
Jamal Shead,TOR,PG,2.5
Landry Shamet,NYK,SG,2.5
Reece Beekman,2TM,PG,2.5
Maxwell Lewis,LAL,SF,2.5
Reece Beekman,BRK,PG,2.4
AJ Johnson,WAS,SG,2.4
Doug McDermott,SAC,SF,2.3
Eric Gordon,PHI,SG,2.2
Davion Mitchell,MIA,PG,2.1
Gabe Vincent,LAL,PG,2.1
Markieff Morris,LAL,PF,1.8
Bryce McGowens,POR,SG,1.6
Lindy Waters III,DET,SG,1.2
Vasilije Micić,PHO,PG,0
Patty Mills,LAC,PG,0
Jordan McLaughlin,SAS,PG,0
Sidy Cissoko,POR,SF,0
Emoni Bates,CLE,SF,0
Tristen Newton,IND,SG,0
Daniss Jenkins,DET,PG,0
Malachi Flynn,CHO,PG,0
Quincy Olivari,LAL,PG,0
Jalen McDaniels,WAS,SF,0
Jaylen Martin,BRK,SF,0
Jesse Edwards,MIN,C,0
Jamaree Bouyea,MIL,PG,0
Alondes Williams,DET,SG,0
Zyon Pullin,MEM,SG,0
Emanuel Miller,CHI,PF,0
