Player,Team,Pos,PTS,TRB,AST
Dyson Daniels,ATL,SG,14.8,5.9,4.3
Matt Ryan,NYK,SF,14.8,4.2,1.6
Sidy Cissoko,SAS,SF,14.7,6.7,4
Noah Clowney,BRK,PF,14.7,6.1,1.3
Antonio Reeves,NOP,SG,14.7,3.8,2.5
Devin Carter,SAC,PG,14.6,8.8,4.5
Ziaire Williams,BRK,SF,14.6,7.1,2.1
AJ Johnson,2TM,SG,14.6,4.4,5.8
Ayo Dosunmu,CHI,SG,14.6,4.2,5.4
Fred VanVleet,HOU,PG,14.6,4,5.9
Shake Milton,BRK,SG,14.6,3.7,4.7
Dennis Schröder,GSW,SG,14.6,3.2,6
Doug McDermott,SAC,SF,14.6,2.3,0.5
Nick Richards,PHO,C,14.5,14.8,1
Jaime Jaquez Jr.,MIA,SF,14.5,7.4,4.2
Guerschon Yabusele,PHI,C,14.5,7.4,2.7
Ron Holland,DET,SF,14.5,6,2
Quenton Jackson,IND,PG,14.5,3.8,4.4
Jose Alvarado,NOP,PG,14.5,3.7,6.7
Keion Brooks Jr.,NOP,SF,14.4,10.8,3.6
Lamar Stevens,MEM,PF,14.4,9,0
Terance Mann,ATL,SG,14.4,4.4,3.7
Jaylen Nowell,NOP,SG,14.4,4.3,3.9
Bogdan Bogdanović,ATL,SG,14.4,4,2.9
Amir Coffey,LAC,SG,14.4,3.4,1.6
Spencer Dinwiddie,DAL,PG,14.4,3.3,5.4
Nick Smith Jr.,CHO,SG,14.4,3.3,3.4
Jamaree Bouyea,MIL,PG,14.4,0,7.2
Jabari Walker,POR,SF,14.3,10.4,2
Brandin Podziemski,GSW,SG,14.3,6.9,4.8
Max Christie,DAL,SG,14.3,4.5,3.7
Jusuf Nurkić,CHO,C,14.2,15.6,7.4
Andre Drummond,PHI,C,14.2,15.2,1.7
Bruno Fer0ndo,TOR,C,14.2,12.5,4.4
Tosan Evbuomwan,BRK,SF,14.2,6.1,2.4
Brook Lopez,MIL,C,14.2,5.7,2
Ryan Rollins,MIL,PG,14.2,4.7,3.8
Zach Collins,SAS,C,14.1,8.6,4.4
Tyrese Martin,BRK,SG,14.1,6.2,2.8
Aaron Holiday,HOU,PG,14.1,3.5,3.5
Oscar Tshiebwe,UTA,C,14,18.7,1.1
Mitchell Robinson,NYK,C,14,10.7,0.7
Kenrich Williams,OKC,PF,14,8.1,3
Pat Spencer,GSW,PG,14,7.4,6.7
Kevin Huerter,2TM,SG,14,4.6,3.1
Ajay Mitchell,OKC,SG,14,4.3,3.7
Isaiah Hartenstein,OKC,C,13.9,14.4,5.1
Dominick Barlow,ATL,SF,13.9,7.1,0.9
Shake Milton,2TM,SG,13.9,4.4,4.6
Markelle Fultz,SAC,PG,13.9,3.5,4.1
Josh Hart,NYK,SG,13.8,9.2,5.3
Mouhamed Gueye,ATL,PF,13.8,7.7,1.4
Jaden McDaniels,MIN,PF,13.8,6.6,2.2
Ja'Kobe Walter,TOR,SG,13.8,5.1,2.3
Patty Mills,LAC,PG,13.8,0,4.2
Dereck Lively II,DAL,C,13.7,11.8,3.9
Adama Sanogo,CHI,C,13.7,10.3,1.7
Royce O'Neale,PHO,SF,13.7,6.9,2.9
Yuki Kawamura,MEM,PG,13.7,4,8
Miles McBride,NYK,PG,13.7,3.8,3.9
Lindy Waters III,DET,SG,13.7,1.2,1.2
Walker Kessler,UTA,C,13.6,14.3,1.9
Drew Eubanks,UTA,C,13.6,10.6,2.9
Jock Landale,HOU,C,13.6,10.5,2.8
Jabari Smith Jr.,HOU,PF,13.6,7.8,1.1
Markieff Morris,2TM,PF,13.6,5.3,4.1
Jett Howard,ORL,SF,13.6,3.7,2.4
Nic Claxton,BRK,C,13.5,10,3
Kevin Huerter,SAC,SG,13.5,4.8,3
Anthony Black,ORL,PG,13.5,4.1,4.7
Tristen Newton,IND,SG,13.5,0,4.5
Drew Eubanks,2TM,C,13.4,10.5,2.6
David Roddy,2TM,PF,13.4,7.6,3.2
Torrey Craig,BOS,SF,13.4,7,1.7
Jackson Rowe,GSW,PF,13.4,6.7,2.5
Sidy Cissoko,2TM,SF,13.4,6.1,3.7
Monte Morris,PHO,PG,13.4,3.9,4.6
Jusuf Nurkić,2TM,C,13.3,14.2,3.6
Bilal Coulibaly,WAS,SF,13.3,5.3,3.7
Ochai Agbaji,TOR,SG,13.3,4.9,2
Tim Hardaway Jr.,DET,SG,13.3,3,2.1
Nickeil Alexander-Walker,MIN,SG,13.2,4.4,3.6
Sam Merrill,CLE,SG,13.2,3.8,2.7
Jusuf Nurkić,PHO,C,13.1,13.9,2.9
Mo Bamba,LAC,C,13.1,12.3,1.6
Jordan Goodwin,LAL,PG,13.1,8,2.1
Tyus Jones,PHO,PG,13.1,3.1,7.3
Sam Hauser,BOS,PF,13,5.4,1.6
Jordan Miller,LAC,SF,13,5.2,2.9
Jrue Holiday,BOS,PG,13,5.1,4.4
Lonnie Walker IV,PHI,SG,13,4.5,2.6
Kylor Kelley,DAL,C,12.9,11.3,1.1
Dorian Finney-Smith,BRK,PF,12.9,5.7,1.9
Alec Burks,MIA,SG,12.9,5.5,2.3
Tyler Kolek,NYK,PG,12.9,3.6,5.4
Adam Flagler,OKC,SG,12.9,3,0
Goga Bitadze,ORL,C,12.8,11.8,3.3
Thomas Bryant,MIA,C,12.8,10,1.3
Neemias Queta,BOS,C,12.8,9.7,1.7
Keegan Murray,SAC,PF,12.8,7.1,1.5
Cam Christie,LAC,SG,12.8,7,2.3
Jarace Walker,IND,PF,12.8,6.9,3.2
Bruce Brown,2TM,PG,12.8,6.7,2.9
Max Strus,CLE,SF,12.8,6.1,4.5
Josh Minott,MIN,SF,12.8,5.8,2.2
Andrew Nembhard,IND,SG,12.8,4,6.2
Wendell Carter Jr.,ORL,C,12.7,10.5,3.2
David Roddy,ATL,PF,12.7,7.3,3.1
Simone Fontecchio,DET,SF,12.7,6.3,1.9
Vasilije Micić,CHO,PG,12.7,4.1,6
Keon Ellis,SAC,SG,12.7,4.1,2
Max Christie,2TM,SG,12.7,4,2.5
Reggie Jackson,PHI,PG,12.7,3.9,4.2
Jo0than Isaac,ORL,PF,12.6,10.7,1.1
Jake LaRavia,MEM,PF,12.6,7.5,4.9
Kyle Anderson,GSW,PF,12.6,7.3,5.4
KJ Simpson,CHO,PG,12.6,5.1,4.6
Jalen Wilson,BRK,PF,12.6,4.6,2.5
Vasilije Micić,2TM,PG,12.6,4.1,6
Bismack Biyombo,SAS,C,12.5,11.5,2.5
Ousmane Dieng,OKC,C,12.5,7.3,2.9
Grant Williams,CHO,PF,12.5,6.2,2.8
Patrick Williams,CHI,PF,12.5,5.5,2.8
A.J. Green,MIL,SG,12.5,3.7,2.1
Eric Gordon,PHI,SG,12.5,2.2,3
Olivier-Maxence Prosper,DAL,PF,12.4,7.8,2.5
Lonzo Ball,CHI,PG,12.4,5.5,5.3
Justin Edwards,PHI,SF,12.4,4.6,2
Jamal Shead,TOR,PG,12.4,2.5,7.4
Donovan Clingan,POR,C,12.3,14.6,1.8
Kyle Anderson,2TM,PF,12.3,7.8,5.4
Ryan Dunn,PHO,SF,12.3,6.5,1.6
Shake Milton,LAL,SG,12.3,5.9,4.4
Keaton Wallace,ATL,PG,12.3,3.1,4.8
Blake Wesley,SAS,SG,12.3,2.8,7.7
Kai Jones,2TM,C,12.2,8,1.5
Craig Porter Jr.,CLE,PG,12.2,4.5,5.5
Jeff Dowtin,PHI,PG,12.2,3.9,5
Max Christie,LAL,SG,12.2,3.8,2.1
Trey Lyles,SAC,PF,12.1,8.8,2.1
Jaxson Hayes,LAL,C,12.1,8.6,2
Jaylon Tyson,CLE,SG,12.1,7.8,3.7
Jake LaRavia,2TM,PF,12.1,7.3,4.6
Tre Jones,2TM,PG,12.1,4.6,7.5
Jared Rhoden,CHO,SG,12,12,6
RayJ Dennis,IND,PG,12,9.6,4.8
Orlando Robinson,SAC,C,12,8.8,5.7
Luguentz Dort,OKC,SF,12,5.1,2.1
Killian Hayes,BRK,PG,12,4,6.9
AJ Johnson,WAS,SG,12,2.4,6
Robert Williams,POR,C,11.9,12.1,2.2
Rudy Gobert,MIN,C,11.9,11.3,2
Orlando Robinson,TOR,C,11.9,9.6,3
Orlando Robinson,2TM,C,11.9,9.5,3.4
Jeremiah Robinson-Earl,NOP,PF,11.9,9.2,2.3
Johnny Davis,WAS,SG,11.9,5.7,1.6
Zeke N0ji,DEN,PF,11.9,5.7,1
Tristan Da Silva,ORL,SF,11.9,5.4,2.5
Peyton Watson,DEN,SF,11.9,5.1,2.2
Cam Spencer,MEM,SG,11.9,4.8,4.5
Vit Krejci,ATL,PG,11.9,4.7,4.7
Toumani Camara,POR,PF,11.8,6.5,2.3
Terance Mann,2TM,SG,11.8,5,3.1
Bronny James,LAL,SG,11.8,3.8,3.8
PJ Hall,DEN,C,11.7,12.5,2.3
Drew Eubanks,LAC,C,11.7,9.7,1.2
Wendell Moore Jr.,CHO,SG,11.7,6.8,0.5
Elfrid Payton,NOP,PG,11.7,6,12
Anthony Gill,WAS,PF,11.7,5.3,1.2
Julian Phillips,CHI,SF,11.7,5.3,1
Dru Smith,MIA,SG,11.7,4.8,3.1
Reed Sheppard,HOU,PG,11.7,4.2,3.6
Mike Conley,MIN,PG,11.7,3.8,6.5
Yves Missi,NOP,C,11.6,10.7,1.7
Lindy Waters III,2TM,SG,11.6,5.2,2.3
Landry Shamet,NYK,SG,11.6,2.5,1.8
Jaylin Williams,OKC,PF,11.5,11.9,5
Ben Simmons,LAC,PG,11.5,8.8,8.5
Jaden Springer,BOS,SG,11.5,6.1,2.6
KJ Martin,PHI,PF,11.5,5.4,1.4
Alex Caruso,OKC,SG,11.5,5.3,5
Lindy Waters III,GSW,SG,11.5,5.3,2.3
KJ Martin,2TM,PF,11.5,5.2,1.5
KJ Martin,UTA,SF,11.5,4.9,1.6
Dalen Terry,CHI,SG,11.5,4.2,3.4
Kyle Anderson,MIA,SF,11.4,9.4,5.3
Karlo Matković,NOP,PF,11.4,9,2.1
Cody Martin,CHO,SF,11.4,6.6,3.3
Jaden Springer,2TM,SG,11.4,5.4,3.3
Herbert Jones,NOP,SF,11.4,4.3,3.6
Kevon Looney,GSW,C,11.3,15.2,3.9
Trevelin Queen,ORL,SG,11.3,4.1,3.2
Pelle Larsson,MIA,SG,11.3,4.1,2.7
Jaden Springer,UTA,PG,11.3,3.8,4.8
Draymond Green,GSW,PF,11.2,7.7,7.3
Jae'Sean Tate,HOU,SF,11.2,7,2.8
Kyshawn George,WAS,SG,11.2,5.5,3.3
Bub Carrington,WAS,PG,11.2,4.9,4.9
Chris Paul,SAS,PG,11.2,4.7,10
Precious Achiuwa,NYK,C,11.1,9.9,1.7
